,college_names,college_cities,college_fees
0,IIT Kanpur,"Kanpur, Uttar Pradesh
Public
4.4 
 # 5 NIRF",7 Courses
1,BHU,"Varanasi, Uttar Pradesh
Public
4.0 
 # 11 NIRF","CAT
                                                 ,                                                                                                 CEED"
2,AMU,"Aligarh, Uttar Pradesh
Public
3.3 
 # 16 NIRF",₹12 K-10 L
3,IIT Varanasi (BHU),"Varanasi, Uttar Pradesh
Public
3.4 
 # 30 NIRF",NIRF
4,Vignan Online,"Guntur, Andhra Pradesh",48 Courses
5,Amity University Noida,"Noida, Uttar Pradesh
Private
3.7 
 # 49 NIRF","BHU PET
                                                 ,                                                                                                 BHU UET"
6,KGMU,"Lucknow, Uttar Pradesh
Public
4.1 
 # 88 NIRF",₹500 -1.20 L
7,Banasthali Vidyapith,"Lucknow, Uttar Pradesh
Private
3",NAAC
8,MNNIT Allahabad,"Allahabad, Uttar Pradesh
Public
3.8",32 Courses
9,IIIT Allahabad,"Allahabad, Uttar Pradesh
Public
4.0","NATA
                                                 ,                                                                                                 NEET"
10,"Amity University, Noida","Greater Noida, Uttar Pradesh
Private
4.4",₹15 K-13.47 L
11,IMS Noida,"Noida, Uttar Pradesh
Private
3.3","NAAC                                                 ,                                                                                                  NAAC-A"
12,Galgotias,"Noida, Uttar Pradesh
Private
2.4",7 Courses
13,IMS Engineering College,"Ghaziabad, Uttar Pradesh
Private
3.7",JEE Main
14,Shri Ram Murti Smarak College of Engineering and Technology,"Bareilly, Uttar Pradesh
Private
2.9",₹40 K-4 L
15,ABS Noida,"Noida, Uttar Pradesh
Private
4.0",-/-
16,HBTU,"Kanpur, Uttar Pradesh
Public
3.3",-/-
17,IIIT Delhi,"Amroha, Uttar Pradesh
Private
4.3",3 Courses
18,"Institute of Management Studies, BHU","Varanasi, Uttar Pradesh
Public
4.0",-/-
19,Jaipuria Institute of Management Noida,"Noida, Uttar Pradesh
Private
3.7",-/-
20,PSIT Kanpur,"Kanpur, Uttar Pradesh
Private
4.4",₹1.10 L-1.35 L
21,ITS Ghaziabad,"Ghaziabad, Uttar Pradesh
Private
3.5",-/-
22,Sri Ram Murti Smarak International Business School (SRMS),"Unnao, Uttar Pradesh
Private",-/-
23,Doon Business School (DBS),"Kanpur, Uttar Pradesh
Private
3.4",49 Courses
24,GLA University,"Mathura, Uttar Pradesh
Private
3.2","Amity JEE
                                                 ,                                                                                                 CAT"
25,IIM Lucknow,"Lucknow, Uttar Pradesh
Public
4.3",₹1.96 L-20.95 L
26,"Faculty of Engineering, Dayalbagh Educational Institute","Agra, Uttar Pradesh
Private
3.9",NAAC-A
27,Jaipuria Institute of Management Lucknow,"Lucknow, Uttar Pradesh
Private
3.9",9 Courses
